CITY,COLOR,POPULATION,STATE-RANK,STATE,AVG. RANK,OVERALL RANK,GOOGLE SEARCH VOLUME,WEIGHTED BY POPULATION,RANK FOR GSV,GOOGLE TREND,RANK FOR GSV INCREASE,MOST SEARCHED MONTH,AVG. PRECIPITATION (MM),RANK FOR PRECIPITATION,ANNUAL MAX TEMPERATURE ,RANK FOR TEMPERATURE,MEDIAN YEAR BUILT,RANK FOR YEAR BUILT,POPULATION DENSITY / sq mi,RANK FOR POPULATION DENSITY
Beavercreek,#f6b26b,"46,372",6,Ohio,105.50,99,130,280.34,21,0.00%,125,April,"1,107.00",107,17.00,162,1971,41,"1,750.00",177
Oakland,#f6b26b,"440,646",3,California,106.50,100,460,104.39,142,-30.00%,169,August,516.00,164,20.00,123,1968,21,"7,878.00",20
Grand Rapids,#f6b26b,"198,917",11,Michigan,107.67,101,280,140.76,99,50.00%,63,July,999.00,133,14.00,206,1980,83,"4,442.00",62
Portland,#f6b26b,"68,408",43,Maine,107.67,102,160,233.89,36,-50.00%,186,December,"1,415.00",23,13.00,212,1980,84,"3,175.00",105
Virginia Beach,#f6b26b,"459,470",8,Virginia,107.67,103,460,100.12,148,83.00%,46,April,"1,267.00",57,20.00,117,1984,106,"1,877.00",172
Lexington,#f6b26b,"322,570",16,Kentucky,107.83,104,370,114.70,130,300.00%,9,August,"1,338.00",33,19.00,126,1987,141,"1,137.00",208
Fayetteville,#f6b26b,"208,501",14,North Carolina,108.00,105,260,124.70,120,200.00%,20,September,"1,224.00",76,23.00,77,1991,164,"1,406.00",191
Biloxi,#f6b26b,"49,449",24,Mississippi,108.17,106,80,161.78,84,0.00%,126,June,"1,628.00",7,25.00,53,1993,172,"1,151.00",207
Brownsville,#f6b26b,"186,738",1,Texas,108.33,107,240,128.52,114,150.00%,28,July,786.00,159,29.00,9,1995,181,"2,096.00",159
Shelton,#f6b26b,"41,751",39,Connecticut,108.50,108,70,167.66,75,0.00%,127,December,"1,322.00",37,16.00,169,1972,45,"1,334.00",198
Rochester,#f6b26b,"211,328",4,New York,108.67,109,360,170.35,72,-33.00%,172,September,945.00,145,14.00,209,1967,18,"5,909.00",36
Salem,#f6b26b,"177,723",22,Oregon,110.17,110,190,106.91,138,100.00%,41,May,"1,079.00",116,17.00,163,1985,117,"3,686.00",86
Youngstown,#f6b26b,"60,068",6,Ohio,110.17,111,120,199.77,49,0.00%,128,July,"1,082.00",114,16.00,181,1965,13,"1,770.00",176
Greenville,#f6b26b,"70,720",18,South Carolina,110.33,112,190,268.67,26,-50%,187,April,"1,276.00",52,22.00,88,1991,165,"2,373.00",144
Montgomery,#f6b26b,"200,603",25,Alabama,110.83,113,300,149.55,91,-13.00%,155,March,"1,335.00",34,25.00,55,1986,124,"1,232.00",206
New Braunfels,#f6b26b,"90,403",1,Texas,111.17,114,220,243.35,32,0.00%,129,August,836.00,157,27.00,29,1995,182,"2,435.00",138
Cape Coral,#f6b26b,"194,016",2,Florida,111.33,115,140,72.16,189,33.00%,79,March,"1,516.00",13,29.00,7,2000,206,"1,829.00",174
Shreveport,#f6b26b,"187,593",28,Louisiana,111.67,116,270,143.93,96,-29.00%,166,May,"1,208.00",83,25.00,59,1981,88,"1,734.00",178
Modesto,#f6b26b,"218,464",3,California,112.17,117,300,137.32,101,-33.00%,173,June,298.00,193,25.00,65,1982,95,"5,007.00",46
Nashville,#f6b26b,"689,447",5,Tennessee,113.00,118,580,84.13,172,214.00%,13,November,"1,364.00",30,22.00,86,1995,187,"1,420.00",190
